t,lat,lon,alt
1596399918,69.6474,107.715159,7966.68302470871
1596399919,69.6495293319307,107.71572479294,8018.44873497702
1596399920,69.6517888432886,107.716349749575,7962.37203091566
1596399921,69.6544180723051,107.717096227004,8015.76045014989
1596399922,69.6576311460575,107.718025353994,7965.82206578407
1596399923,69.6615691436607,107.719192010282,8132.39328730938
1596399924,69.6663547307391,107.720586695968,7970.56258560603
1596399925,69.6722349409368,107.722230644901,8056.34239324922
1596399926,69.6794565593742,107.724184157966,7935.3904990511
1596399927,69.6881632847786,107.726476162863,8025.69476429041
1596399928,69.6983852648478,107.729146562047,8199.69136662242
1596399929,69.7100867044845,107.732271781953,8010.84471525241
1596399930,69.7232942803714,107.73586584868,7977.22390450676
1596399931,69.738140618028,107.739936441615,8132.33970988732
1596399932,69.754678793057,107.744500196654,8180.27146888277
1596399933,69.7727871003519,107.749531352398,7935.93060014637
1596399934,69.7925139252962,107.755015643745,7836.11275832403
1596399935,69.8139560954516,107.760954361821,8024.28213233284
1596399936,69.837069460816,107.767339515374,7695.97156419505
1596399937,69.8618195884704,107.774174668279,7896.59267885731
1596399938,69.8882835574035,107.781452811941,8063.36127685118
1596399939,69.9165292435273,107.789140425455,7981.52894401199
1596399940,69.9465809465014,107.797233355155,8018.33317883661
1596399941,69.9784271837063,107.805761402403,8158.01872863259
1596399942,70.0119480089068,107.814747042105,8027.81297192524
1596399943,70.047027483407,107.824182703534,8016.30024292489
1596399944,70.0836061810789,107.834052016921,8090.91161277868
1596399945,70.121615245099,107.844349547923,8066.29829496099
1596399946,70.1609916072755,107.85507823154,7851.3738740447
1596399947,70.201754768679,107.866241241759,7971.58740407005
1596399948,70.2439019245911,107.877830805652,7970.95366819769
1596399949,70.2873643156573,107.889832036053,8094.08894182686
1596399950,70.3320245576983,107.902221671644,7971.46577285447
1596399951,70.3778161421003,107.914978178456,7891.90165407967
1596399952,70.4247046404047,107.928080341008,7983.50089501053
1596399953,70.4726308692971,107.941496975032,7920.03458001727
1596399954,70.5215378724873,107.955198500846,8063.31551053479
1596399955,70.5713484495038,107.96915602796,7861.93955666673
1596399956,70.5713484495038,107.96915602796,7973.59095802784
1596399957,70.5734777814344,107.969721820899,8007.1108146848
1596399958,70.5758542938738,107.97035411169,8185.23358650488
1596399959,70.5788535820682,107.971163416005,7904.3778351064
1596399960,70.5826768032591,107.972246324978,7994.70226191655
1596399961,70.5875399143217,107.973639890974,7956.17412410587
1596399962,70.5936250034631,107.975367857383,7928.25239523719
1596399963,70.6010807556199,107.977493554883,8026.89864932892
1596399964,70.6099598564485,107.98003448306,7806.78003391582
1596399965,70.6202963096535,107.982971227665,8029.26581588652
1596399966,70.6321093851347,107.986319942596,8002.36990862136
1596399967,70.645459040384,107.990141336749,7786.21142823942
1596399968,70.660519421332,107.994483606168,7902.31357843051
1596399969,70.6772943280961,107.999370251469,7956.9405816401
1596399970,70.6957941966948,108.004797741005,8095.8799766342
1596399971,70.7161406846154,108.010774575447,7807.60814483108
1596399972,70.7384973495848,108.017338068409,7936.24841094576
1596399973,70.7628826947261,108.024514108222,7884.09867072333
1596399974,70.7891442049437,108.032310510413,8243.13300749952
1596399975,70.8171195819951,108.040738108586,8162.79215236106
1596399976,70.846697221736,108.049779775786,7874.58544346823
1596399977,70.8777994790102,108.059407250881,8135.91343580747
1596399978,70.9103541221128,108.069617405011,8163.33076067702
1596399979,70.9444222284722,108.080398137869,7981.39492303013
1596399980,70.9800213072182,108.091725124978,8138.5222791887
1596399981,71.0170793271512,108.10356516241,8087.17792096296
1596399982,71.0556332027686,108.115902875148,8033.23761622037
1596399983,71.0957358202195,108.128727192062,7910.24986430552
1596399984,71.1373968151247,108.142021912986,7859.55544429959
1596399985,71.1805539899666,108.15576801578,7989.74949674915
1596399986,71.2251676091689,108.169941111313,8075.10222556307
1596399987,71.2712557057577,108.184519267521,7955.27200322843
1596399988,71.3187860225047,108.199469334706,7901.64626689191
1596399989,71.3677057441549,108.214757406837,7966.27369129246
1596399990,71.3677057441549,108.214757406837,8066.5238045163
1596399991,71.3698350760855,108.215323199777,8058.46480013166
1596399992,71.3720167843022,108.215926440453,7928.7603637915
1596399993,71.3743588058227,108.216651007337,7878.80138510809
1596399994,71.3771704600559,108.217563030267,7795.24443826022
1596399995,71.3807871554841,108.21870823061,8041.97530264507
1596399996,71.3853271199874,108.220103313418,7932.59136459662
1596399997,71.3908196154009,108.221730835565,8066.25174550922
